シーズン,集計基準日,試合日,試合ID,ビジター,ホーム,球場,ビジター得点,ホーム得点,勝者,試合状態,勝利投手,敗戦投手,セーブ投手,データの説明
2026,2026-09-05,2026-09-05,2021039383,西武,ソフトバンク,みずほPayPay,0,2,ソフトバンク,試合終了,大津,隅田,杉山,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-05,2021039382,ロッテ,オリックス,京セラD大阪,6,7,オリックス,試合終了,マチャド,小野,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-05,2021039381,日本ハム,楽天,楽天モバイル,5,2,日本ハム,試合終了,伊藤,早川,柳川,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-05,2021039380,巨人,広島,マツダスタジアム,10,5,巨人,試合終了,,,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-05,2021039379,DeNA,阪神,甲子園,3,2,DeNA,試合終了,尾形,村上,レイノルズ,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-05,2021039378,中日,ヤクルト,神宮,8,4,中日,試合終了,マラー,廣澤,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-04,2021039377,西武,ソフトバンク,みずほPayPay,2,8,ソフトバンク,試合終了,鈴木豪,髙橋光成,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-04,2021039376,ロッテ,オリックス,京セラD大阪,1,3,オリックス,試合終了,髙島,ジャクソン,マチャド,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-04,2021039375,日本ハム,楽天,楽天モバイル,5,2,日本ハム,試合終了,北山,古謝,柳川,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-04,2021039374,巨人,広島,マツダスタジアム,3,1,巨人,試合終了,竹丸,森下,マルティネス,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-04,2021039373,中日,ヤクルト,神宮,1,1,引分,試合終了,,,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-03,2021039372,広島,中日,バンテリンドーム,5,2,広島,試合終了,栗林,金丸,森浦,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-03,2021039371,阪神,ヤクルト,神宮,7,4,阪神,試合終了,伊藤将,増居,工藤,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-02,2021039370,オリックス,楽天,盛岡,0,4,楽天,試合終了,荘司,富山,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-02,2021039369,ソフトバンク,日本ハム,エスコンF,1,1,引分,試合終了,,,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-02,2021039368,広島,中日,バンテリンドーム,4,5,中日,試合終了,齋藤,ターノック,松山,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-02,2021039367,阪神,ヤクルト,神宮,3,5,ヤクルト,試合終了,山野,西勇,ウォルターズ,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-02,2021039366,DeNA,巨人,京セラD大阪,2,1,DeNA,試合終了,レイノルズ,赤星,岩田,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-01,2021039365,西武,ロッテ,ZOZOマリン,0,1,ロッテ,試合終了,高野脩,平良,横山,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-01,2021039364,オリックス,楽天,秋田,1,5,楽天,試合終了,伊藤樹,九里,,2026シーズンの収集済み全試合。
2026,2026-09-05,2026-09-01,2021039363,ソフトバンク,日本ハム,エスコンF,1,2,日本ハム,試合終了,堀,モイネロ,柳川,2026シーズンの収集済み全試合。
