シーズン,集計基準日,試合日,試合ID,ビジター,ホーム,球場,ビジター得点,ホーム得点,勝者,試合状態,勝利投手,敗戦投手,セーブ投手,データの説明
2026,2026-09-06,2026-09-06,2021039389,西武,ソフトバンク,みずほPayPay,5,2,西武,試合終了,武内,上茶谷,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-06,2021039388,ロッテ,オリックス,京セラD大阪,3,0,ロッテ,試合終了,ルケーシー,曽谷,横山,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-06,2021039387,日本ハム,楽天,楽天モバイル,6,3,日本ハム,試合終了,有原,瀧中,福島,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-06,2021039386,巨人,広島,マツダスタジアム,4,0,巨人,試合終了,小笠原,森,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-06,2021039385,DeNA,阪神,甲子園,4,1,DeNA,試合終了,竹田,大竹,レイノルズ,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039383,西武,ソフトバンク,みずほPayPay,0,2,ソフトバンク,試合終了,大津,隅田,杉山,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039382,ロッテ,オリックス,京セラD大阪,6,7,オリックス,試合終了,マチャド,小野,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039381,日本ハム,楽天,楽天モバイル,5,2,日本ハム,試合終了,伊藤,早川,柳川,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039380,巨人,広島,マツダスタジアム,10,5,巨人,試合終了,則本,岡本,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039379,DeNA,阪神,甲子園,3,2,DeNA,試合終了,尾形,村上,レイノルズ,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-05,2021039378,中日,ヤクルト,神宮,8,4,中日,試合終了,マラー,廣澤,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-04,2021039377,西武,ソフトバンク,みずほPayPay,2,8,ソフトバンク,試合終了,鈴木豪,髙橋光成,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-04,2021039376,ロッテ,オリックス,京セラD大阪,1,3,オリックス,試合終了,髙島,ジャクソン,マチャド,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-04,2021039375,日本ハム,楽天,楽天モバイル,5,2,日本ハム,試合終了,北山,古謝,柳川,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-04,2021039374,巨人,広島,マツダスタジアム,3,1,巨人,試合終了,竹丸,森下,マルティネス,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-04,2021039373,中日,ヤクルト,神宮,1,1,引分,試合終了,,,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-03,2021039372,広島,中日,バンテリンドーム,5,2,広島,試合終了,栗林,金丸,森浦,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-03,2021039371,阪神,ヤクルト,神宮,7,4,阪神,試合終了,伊藤将,増居,工藤,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-02,2021039370,オリックス,楽天,盛岡,0,4,楽天,試合終了,荘司,富山,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-02,2021039369,ソフトバンク,日本ハム,エスコンF,1,1,引分,試合終了,,,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-02,2021039368,広島,中日,バンテリンドーム,4,5,中日,試合終了,齋藤,ターノック,松山,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-02,2021039367,阪神,ヤクルト,神宮,3,5,ヤクルト,試合終了,山野,西勇,ウォルターズ,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-02,2021039366,DeNA,巨人,京セラD大阪,2,1,DeNA,試合終了,レイノルズ,赤星,岩田,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039365,西武,ロッテ,ZOZOマリン,0,1,ロッテ,試合終了,高野脩,平良,横山,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039364,オリックス,楽天,秋田,1,5,楽天,試合終了,伊藤樹,九里,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039363,ソフトバンク,日本ハム,エスコンF,1,2,日本ハム,試合終了,堀,モイネロ,柳川,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039362,広島,中日,バンテリンドーム,5,1,広島,試合終了,床田,大野,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039361,阪神,ヤクルト,神宮,6,2,阪神,試合終了,髙橋,吉村,,集計基準日までの直近7日間の試合。
2026,2026-09-06,2026-09-01,2021039360,DeNA,巨人,京セラD大阪,3,4,巨人,試合終了,マルティネス,ルイーズ,,集計基準日までの直近7日間の試合。
