season,player_key,player_id,player,team,league,number,hand,position,qualified,games,pa,ab,runs,hits,singles,doubles,triples,hr,rbi,bb,ibb,hbp,so,sb,caught_stealing,baserunning_outs,baserunning_runs,errors,sf,sh,gidp,gidp_opportunities,tb,avg,obp,slg,ops,iso,babip,bb_pct,k_pct,bb_k,woba_est,wraa_est,wrc_est,wrc_plus_est,rc,rc27,xr,xr27,gpa,seca,ta,wsb,ubr_est,bsr_est
2026,p2108195,2108195,エンカーナシオン,DeNA,セ,69,右打,右,False,39,164,157,15,47,30,8,0,9,34,6,0,0,30,1,0,1,-0.2,2,1,0,2,21,82,0.299,0.323,0.522,0.845,0.223,0.319,0.037,0.183,0.2,0.365,10.81,25.88,172.0,26.66,6.37,25.43,6.08,0.276,0.268,0.795,0.2,-0.4,-0.2
2026,name:コックス,,コックス,DeNA,セ,,,投,False,2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,-1.01,-0.64,-174.0,0.0,0.0,-0.38,-2.59,0.0,0.0,0.0,0.0,-0.0,0.0
2026,name:デュプランティエ,,デュプランティエ,DeNA,セ,,,投,False,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,-0.76,-0.48,-174.0,0.0,0.0,-0.27,-2.43,0.0,0.0,0.0,0.0,-0.0,0.0
2026,p2101034,2101034,ヒュンメル,DeNA,セ,99,左打,打,False,59,148,129,14,27,17,5,0,5,18,15,0,3,49,0,0,1,-0.4,3,1,0,4,18,47,0.209,0.304,0.364,0.668,0.155,0.289,0.101,0.331,0.31,0.301,1.43,15.04,111.0,14.39,3.63,14.74,3.72,0.228,0.295,0.613,0.0,-0.4,-0.4
2026,name:ビシエド,,ビシエド,DeNA,セ,,,打,False,21,30,28,1,7,6,0,0,1,6,2,0,0,5,0,0,0,0.0,1,0,0,0,0,10,0.25,0.3,0.357,0.657,0.107,0.273,0.067,0.167,0.4,0.294,0.12,2.88,104.0,3.0,3.86,3.19,4.1,0.224,0.179,0.571,0.0,-0.0,0.0
2026,p1600021,1600021,ビシエド,DeNA,セ,66,右打,,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,0,0,6,0,,0.0,,,,0.0,0.0,0.0,,0.0,-0.25,-0.16,-174.0,,,0.28,7.56,,,,0.0,-0.0,0.0
2026,p2101360,2101360,ビド,DeNA,セ,42,右投,投,False,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,1.0,0.0,0.0,-0.5,-0.32,-174.0,0.0,0.0,-0.2,-2.65,0.0,0.0,0.0,0.0,-0.0,0.0
2026,p1600167,1600167,三森 大貴,DeNA,セ,26,左打,中,False,58,133,125,17,30,26,4,0,0,9,7,0,0,30,13,2,1,1.4,1,1,0,1,10,34,0.24,0.278,0.272,0.55,0.032,0.312,0.053,0.226,0.23,0.248,-4.74,7.49,61.0,9.53,2.6,11.17,3.05,0.193,0.176,0.551,1.8,-0.4,1.4
2026,p2000099,2000099,中川 颯,DeNA,セ,53,右投,投,False,6,3,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,1,0.333,0.333,0.333,0.666,0.0,0.5,0.0,0.333,0.0,0.297,0.02,0.29,107.0,0.33,4.5,0.31,4.21,0.233,0.0,0.5,0.0,-0.0,0.0
2026,p1600166,1600166,九鬼 隆平,DeNA,セ,95,右打,打,False,9,9,9,0,2,1,1,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,1,3,0.222,0.222,0.333,0.555,0.111,0.4,0.0,0.444,0.0,0.24,-0.39,0.44,53.0,0.67,2.57,0.56,2.15,0.183,0.111,0.429,0.0,-0.0,0.0
